timeTick, roll, pitch, yaw, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, FlowX, FlowY, commandT, commandR, commandP, commandYR, m1, m2, m3, m4, otX0, otY0, otZ0, otRoll0, otPitch0, otYaw0, CameraTime
25816, -1.8450361490249634, -1.4653726816177368, -0.38312000036239624, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.01588394120335579, -0.019907953217625618, 0.04620334133505821, -0.1799786891206775, 0.9470973609770965, 6.579465437124418, 0
25826, -1.8791639804840088, -1.4568772315979004, -0.3825788199901581, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.01588394120335579, -0.019907953217625618, 0.04620334133505821, -0.1799786891206775, 0.9470973609770965, 6.579465437124418, 0
25836, -1.8241372108459473, -1.4668608903884888, -0.3829132914543152, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.015711508691310883, -0.019940558820962906, 0.045754335820674896, -0.06594528501550403, 0.9216491832121676, 6.682995078328192, 0
25846, -1.821755051612854, -1.4655671119689941, -0.38265880942344666, -0.001694660633802414, -0.003947904799133539, 0.015405493788421154, -0.0035222754813730717, -0.007151943165808916, 0.00512535497546196, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.015884295105934143, -0.019924301654100418, 0.04619370400905609, -0.17783634109694255, 0.9470991191379596, 6.597403451611775, 0
25856, -1.8350619077682495, -1.4660340547561646, -0.3833909034729004, -0.001671578735113144, -0.00364601518958807, 0.015459248796105385, -0.0035207229666411877, -0.005454515106976032, 0.005088365636765957, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0.015938326716423035, -0.020036350935697556, 0.04597770795226097, -0.09419944548929741, 0.9746971843936763, 6.679293709943807, 0
25866, -1.8464066982269287, -1.4678140878677368, -0.3830951452255249, -0.0016728806076571345, -0.0033715078607201576, 0.014919145032763481, -0.00361030176281929, -0.003943117335438728, 0.0018727245042100549, -1.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0.015679776668548584, -0.01982499286532402, 0.0459139384329319, -0.1447277014010301, 0.9163600057094072, 6.604954648845141, 0
25876, -1.8356373310089111, -1.4667454957962036, -0.38330498337745667, -0.0016649648314341903, -0.003627455560490489, 0.014937332831323147, -0.0034751291386783123, -0.005250212270766497, 0.00179387629032135, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 37354.0, 0.0, 35388.0, 0.0, 0.01587585173547268, -0.0199161097407341, 0.04618149623274803, -0.17853484616050916, 0.9470445059965584, 6.589396936819952, 0
25886, -1.8328173160552979, -1.463693618774414, -0.3829782009124756, -0.0017002406530082226, -0.0036809153389185667, 0.014954378828406334, -0.0035800470504909754, -0.005441810004413128, 0.0016155312769114971, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 37354.0, 0.0, 35388.0, 0.0, 0.015873998403549194, -0.019917737692594528, 0.04619111120700836, -0.17520339638379429, 0.941888571372516, 6.587951501252285, 20450.0
25896, -1.8560619354248047, -1.463343858718872, -0.383195161819458, -0.0016737445257604122, -0.00310938386246562, 0.01497174147516489, -0.0032990016043186188, -0.0024310857988893986, 0.0014097430976107717, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 37354.0, 0.0, 35388.0, 0.0, 0.015723368152976036, -0.019940584897994995, 0.04573622718453407, -0.07154051932333938, 0.9193400642472511, 6.686875291499159, 20450.0
25906, -1.8229777812957764, -1.4982175827026367, -0.38395145535469055, -0.0008663703338243067, -0.003925812430679798, 0.014592052437365055, 0.0007881869096308947, -0.006670734845101833, -0.0008164086029864848, -2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 37354.0, 0.0, 35388.0, 0.0, 0.015881842002272606, -0.019916780292987823, 0.046178411692380905, -0.17593778888301423, 0.9448790295791412, 6.600969332701329, 20553.0
