timeTick, roll, pitch, yaw, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, FlowX, FlowY, commandT, commandR, commandP, commandYR, m1, m2, m3, m4, otX0, otY0, otZ0, otRoll0, otPitch0, otYaw0, CameraTime
581480, -1.9015480279922485, -2.0361709594726562, 0.053011439740657806, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.02961844950914383, -0.03306981921195984, 0.0473766028881073, -0.14846770133858517, 0.06907953646845044, 0.1583782524317632, 0
581490, -1.9003510475158691, -2.066154718399048, 0.0369463711977005, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.02961844950914383, -0.03306981921195984, 0.0473766028881073, -0.14846770133858517, 0.06907953646845044, 0.1583782524317632, 0
581500, -1.899722933769226, -2.0453031063079834, 0.04778468981385231, 0.2639258801937103, -0.26597458124160767, 0.021275773644447327, -0.003263631137087941, -0.004781672731041908, 0.0009451959049329162, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.03063487634062767, -0.03267643600702286, 0.047561123967170715, 0.6977985250665091, 1.4223680549797564, 1.6257944609542208, 0
581510, -1.899718999862671, -2.0524837970733643, 0.04331987723708153, 0.26404327154159546, -0.2659094035625458, 0.021284954622387886, -0.0021116805728524923, -0.0047626071609556675, 0.0006772300112061203, 0.0, -1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0.02968290075659752, -0.03312443569302559, 0.04733084887266159, -0.18642705430386527, 0.09588691397155458, 0.14343824532342617, 0
581520, -1.8998750448226929, -2.0407330989837646, 0.04842618852853775, 0.2639539837837219, -0.2659880220890045, 0.021291809156537056, -0.0033865615259855986, -0.004726670682430267, 0.0006174758891575038, 0.0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0.03065318800508976, -0.0326116606593132, 0.04720032587647438, 0.5660719662419266, 0.9777621993075343, 1.521041094646241, 0
581530, -1.9098087549209595, -2.040139675140381, 0.05366864800453186, 0.2640870213508606, -0.2658465802669525, 0.021183552220463753, -0.003456488251686096, -0.0034534812439233065, -0.00011126288154628128, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0.029483424499630928, -0.03319666162133217, 0.04750685766339302, 0.052552843196350396, 0.2987716165050358, 0.35100243133399955, 0
581540, -1.90964674949646, -2.0537431240081787, 0.04841466620564461, 0.2641995847225189, -0.265774130821228, 0.02118072099983692, -0.002173875691369176, -0.0036810780875384808, -0.00048521836288273335, 0.0, -1.0, 0.0, 0.0, 0.0, 0.0, 37354.0, 0.0, 35388.0, 0.0, 0.029539888724684715, -0.033271417021751404, 0.04740956798195839, 0.012083713851647668, 0.3328624852322264, 0.365558221448907, 0
581550, -1.9097280502319336, -2.0424606800079346, 0.053050581365823746, 0.26410651206970215, -0.26584669947624207, 0.02117425762116909, -0.003345830598846078, -0.0037176997866481543, -0.0008618362480774522, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 37354.0, 0.0, 35388.0, 0.0, 0.030629942193627357, -0.032682329416275024, 0.04760070890188217, 0.6953695920410832, 1.4265673696401677, 1.6230641231533016, 19415.0
581560, -1.9079067707061768, -2.041841745376587, 0.052804987877607346, 0.2640726864337921, -0.26588526368141174, 0.021164536476135254, -0.0034182111267000437, -0.0039926571771502495, -0.0010824274504557252, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 37354.0, 0.0, 35388.0, 0.0, 0.030637629330158234, -0.03266534581780434, 0.04759691283106804, 0.6786492893253389, 1.4149330643208202, 1.6241143647647065, 19415.0
581570, -1.9061506986618042, -2.0379884243011475, 0.052286434918642044, 0.2640377879142761, -0.265926718711853, 0.021153107285499573, -0.0035599020775407553, -0.004295800346881151, -0.0012031658552587032, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 37354.0, 0.0, 35388.0, 0.0, 0.02952267788350582, -0.03328460082411766, 0.04740337282419205, 0.015216180904708377, 0.3318003916890291, 0.3618915421028646, 19415.0
581580, -1.9058427810668945, -2.058518409729004, 0.040707286447286606, 0.26429247856140137, -0.26577028632164, 0.021079588681459427, -0.0009478750289417803, -0.004400438629090786, -0.0017243416514247656, 0.0, -2.0, 0.0, 0.0, 0.0, 0.0, 37354.0, 0.0, 35388.0, 0.0, 0.03061661310493946, -0.03268691524863243, 0.04757247492671013, 0.6840620682386022, 1.4028212727977802, 1.6118361054666746, 19415.0
